account_#,room_name,bay_number,bay_label,product_code,product_name,category,display_type,wall_zone,pos_x_ft,pos_y_ft,orientation_deg,tier_level,status,notes
1001,Main Selection Room,1,Bay 1 - Entrance Feature,147959,Z64 824 DH Classic Gold,Caskets & Containers - Metal,Full Casket,North Wall,4.0,20.0,0,Floor,Active,Premier entrance showcase feature
1001,Main Selection Room,2,Bay 2 - North Wall,280178,Z65 8J3 D DaVinci Bronze,Caskets & Containers - Metal,Full Casket,North Wall,11.0,20.0,0,Floor,Active,Includes LifeSymbols medallion corners
1001,Main Selection Room,3,Bay 3 - North Wall,147862,O39 884 IDH Aegean Bronze,Caskets & Containers - Metal,Full Casket,North Wall,18.0,20.0,0,Floor,Active,Living Memorial display tag attached
1001,Main Selection Room,4,Bay 4 - North Wall,185493,UG1 828 CDH Golden Sand,Caskets & Containers - Metal,Full Casket,North Wall,25.0,20.0,0,Floor,Active,Stainless steel popular seller
1001,Main Selection Room,5,Bay 5 - East Wall,146876,5ZZ 865 HD Barkley Oak,Burial Solutions - Wood,Full Casket,East Wall,28.0,16.0,270,Floor,Active,Solid American oak natural satin
1001,Main Selection Room,6,Bay 6 - East Wall,239372,521 8J3 CHD Warren Oak,Burial Solutions - Wood,Full Casket,East Wall,28.0,10.0,270,Floor,Active,Hardwood selection center
1001,Main Selection Room,7,Bay 7 - East Wall,246687,5RG 828 HD Cambridge Oak,Burial Solutions - Wood,Full Casket,East Wall,28.0,4.0,270,Floor,Active,Standard oak lineup
1001,Main Selection Room,8,Bay 8 - South Wall,147733,A37 833 D Sierra,Caskets & Containers - Metal,Full Casket,South Wall,24.0,2.0,180,Floor,Active,18 Gauge protective steel
1001,Main Selection Room,9,Bay 9 - South Wall,218068,P89 899 D Pieta Star Quartz,Caskets & Containers - Metal,Full Casket,South Wall,6.0,2.0,180,Floor,Active,Religious Pieta corner hardware
1001,Main Selection Room,10,Bay 10 - West Wall,146869,5MX 825 D Trinity Oak,Burial Solutions - Wood,Full Casket,West Wall,2.0,5.0,90,Floor,Active,Warm honey satin finish
1001,Main Selection Room,11,Bay 11 - West Wall,263955,5BN 8K0 UH Barnett Reclaimed Oak,Burial Solutions - Wood,Full Casket,West Wall,2.0,11.0,90,Floor,Active,Rustic reclaimed wood styling
1001,Main Selection Room,12,Bay 12 - West Wall,239699,OE1 8J3 DH Golden Midnight,Caskets & Containers - Metal,Full Casket,West Wall,2.0,17.0,90,Floor,Active,Contemporary midnight finish
1001,Main Selection Room,13,Pedestal 1 - Center,147929,Y35 625 DH Mediterranean Copper,Caskets & Containers - Metal,Quarter Couch,Center Island,12.0,11.0,0,Raised Platform,Active,Quarter-couch modular display unit
1001,Main Selection Room,14,Pedestal 2 - Center,147930,Y35 825 DH Mediterranean Copper,Caskets & Containers - Metal,Quarter Couch,Center Island,18.0,11.0,0,Raised Platform,Active,Quarter-couch modular display unit
1002,Casket Presentation Center,1,Bay 1 - Entrance,147959,Z64 824 DH Classic Gold,Caskets & Containers - Metal,Full Casket,North Wall,5.0,24.0,0,Floor,Active,Premier entrance unit
1002,Casket Presentation Center,2,Bay 2 - North Wall,185491,UG1 828 CDH Silver Sapphire,Caskets & Containers - Metal,Full Casket,North Wall,13.0,24.0,0,Floor,Active,Velvet-Charpente interior
1002,Casket Presentation Center,3,Bay 3 - North Wall,147905,U23 833 IDH Onyx,Caskets & Containers - Metal,Full Casket,North Wall,21.0,24.0,0,Floor,Active,Stainless steel high-shine
1002,Casket Presentation Center,4,Bay 4 - North Wall,185487,JF9 825 CDH Golden Midnight,Caskets & Containers - Metal,Full Casket,North Wall,29.0,24.0,0,Floor,Active,18 Gauge premium metallic
