category,subcategory,material,product_code,price,description,interior,lifestories,lifeview,lifesymbols,dual_disposition,top,finish,oversize,ext_width,ext_height,ext_length,int_width,capacity,year
Burial Solutions - Metal,Bronze,Bronze,147959,16840.00,"Z64 824 DH Classic Gold, Champagne Velvet",Champagne Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,29.00,,84.00,26.00,,2024-25
Burial Solutions - Metal,Bronze,Bronze,280178,9928.00,"Z65 8J3 D DaVinci Bronze, Champagne Velvet",Champagne Velvet,TRUE,FALSE,FALSE,FALSE,,,FALSE,29.00,,84.00,26.00,,2024-25
Burial Solutions - Metal,Bronze,Bronze,147862,8681.00,"O39 884 IDH Aegean Bronze, Champagne Velvet",Champagne Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Copper,Copper,147929,8477.00,"Y35 625 DH Mediterranean Copper, Champagne Velvet",Champagne Velvet,FALSE,FALSE,FALSE,FALSE,Full Top (Full Couch),Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Copper,Copper,147930,8477.00,"Y35 825 DH Mediterranean Copper, Champagne Velvet",Champagne Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Copper,Copper,147935,8054.00,"Y39 884 IDH Aegean Copper, Champagne Velvet",Champagne Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Stainless Steel,Stainless Steel,185491,5055.00,"UG1 828 CDH Silver Sapphire, Silver Velvet-Charpente",Silver Velvet-Charpente,FALSE,FALSE,TRUE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Stainless Steel,Stainless Steel,185493,5055.00,"UG1 828 CDH Golden Sand, Champagne Velvet-Charpente",Champagne Velvet-Charpente,FALSE,FALSE,TRUE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Stainless Steel,Stainless Steel,147901,4841.00,"U46 844 NDH Tapestry Rose, Moss Pink Velvet",Moss Pink Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
Burial Solutions - Metal,Stainless Steel,Stainless Steel,147905,4841.00,"U23 833 IDH Onyx, Silver Velvet",Silver Velvet,FALSE,FALSE,FALSE,FALSE,,Brushed Finish,FALSE,28.50,,83.50,24.00,,2024-25
